t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:14:00+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-25T14:14:00+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-25T14:14:01+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-25T14:14:01+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-25T14:14:01+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://placidly-flagpole-quarterly.ngrok-free.dev
t=2026-07-25T14:15:20+0100 lvl=info msg="join connections" obj=join id=3304a7fb022d l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=fd13188b627c l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=e01d30dd03f7 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=90165242d4c6 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=4ffdba55ad1f l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=2c9ff647e265 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=1fb1014cc359 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=5c781fc82d04 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=d8810d952ce0 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=d2a444f0a203 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:15:21+0100 lvl=info msg="join connections" obj=join id=28c7ab1a37c5 l=[::1]:3000 r=105.127.13.198:19430
